0,0,0,NaN,NaN,0
0.001,7.9508e-08,1.1078e-05,3.1386,0.00049957,3.1354
0.002,3.1855e-07,4.4296e-05,3.1449,0.0010007,3.1422
0.003,7.1858e-07,0.00011557,3.1545,0.001505,3.1509
0.004,1.2737e-06,0.00012341,3.1495,0.0020008,3.1419
0.005,1.9469e-06,0.0001646,3.0831,0.0024466,3.0738
0.006,2.7712e-06,0.00031813,3.0402,0.002902,3.0384
0.007,3.8388e-06,0.00039855,3.0914,0.0034457,3.0923
0.008,5.0132e-06,0.00050847,3.0913,0.0039374,3.092
0.009,6.4144e-06,0.00054095,3.1236,0.0044781,3.1259
0.01,7.9505e-06,0.00069518,3.1388,0.0049955,3.1384
0.011,9.6022e-06,0.00084323,3.1324,0.0054848,3.1326
0.012,1.158e-05,0.0010315,3.1726,0.0060634,3.1745
0.013,1.3789e-05,0.0013098,3.2265,0.0066644,3.2208
0.014,1.5531e-05,0.0012835,3.1397,0.0069703,3.128
0.015,1.7646e-05,0.0015578,3.0989,0.0073914,3.0959
0.016,2.0596e-05,0.001861,3.1763,0.008088,3.1759
0.017,2.3637e-05,0.0020432,3.2345,0.0087363,3.2287
0.018,2.6551e-05,0.00235,3.2489,0.0092679,3.2349
0.019,2.9457e-05,0.0030014,3.2283,0.0097412,3.2212
0.02,3.4463e-05,0.0038838,3.3973,0.010827,3.4012
0.021,4.0753e-05,0.0043352,3.6599,0.012193,3.648
0.022,4.5235e-05,0.0040975,3.7283,0.012919,3.6895
0.023,4.8286e-05,0.0039412,3.655,0.013191,3.6033
0.024,5.2998e-05,0.0043316,3.6881,0.013875,3.6323
0.025,5.8252e-05,0.0051425,3.7509,0.01464,3.6793
0.026,6.1806e-05,0.00569,3.6979,0.014936,3.6093
0.027,6.464e-05,0.0058653,3.5981,0.015042,3.5004
0.028,6.772e-05,0.0058679,3.5103,0.015196,3.4099
0.029,7.1788e-05,0.0059104,3.4698,0.015554,3.3698
0.03,7.6488e-05,0.0060618,3.456,0.01602,3.355
0.031,8.1852e-05,0.0062527,3.4633,0.01659,3.3624
0.032,8.8331e-05,0.0067104,3.5103,0.017344,3.4053
0.033,9.3729e-05,0.0070808,3.5104,0.017846,3.3978
0.034,9.8605e-05,0.0071955,3.4829,0.018222,3.3673
0.035,0.00010481,0.0073873,3.4934,0.018816,3.3777
0.036,0.0001128,0.0078603,3.5537,0.019688,3.4361
0.037,0.00012166,0.008871,3.6341,0.02066,3.5084
0.038,0.00012923,0.010072,3.6727,0.021368,3.5331
0.039,0.00013407,0.011017,3.6292,0.0216,3.4798
0.04,0.00014643,0.011217,3.5192,0.023001,3.6129
0.041,0.00015479,0.010739,3.5022,0.023721,3.6351
0.042,0.00016031,0.010281,3.4575,0.023982,3.5876
0.043,0.00016669,0.01028,3.5674,0.024357,3.5589
0.044,0.00017648,0.011611,3.7184,0.025201,3.5987
0.045,0.00019157,0.012767,3.8536,0.026748,3.7346
0.046,0.00021103,0.014143,3.9145,0.028825,3.9371
0.047,0.00023141,0.016002,3.962,0.030936,4.1356
0.048,0.00025267,0.017695,4.1551,0.033075,4.3294
